#      Train        Test
    0.997214     0.890152 
    0.996286     0.890152 
    0.995357     0.897727 
    0.994429     0.890152 
    0.995357     0.893939 
    0.995357     0.882576 
    0.994429     0.882576 
    0.997214        0.875 
    0.995357        0.875 
    0.997214     0.897727 
      0.9935     0.890152 
    0.998143        0.875 
    0.996286     0.882576 
    0.995357     0.878788 
    0.995357     0.886364 
    0.995357     0.893939 
    0.996286     0.901515 
    0.996286     0.893939 
    0.992572     0.863636 
    0.994429     0.901515 
    0.997214        0.875 
    0.995357     0.901515 
      0.9935     0.878788 
    0.997214     0.897727 
    0.994429     0.912879 
    0.996286     0.905303 
    0.998143     0.886364 
    0.995357     0.890152 
    0.997214     0.924242 
    0.995357     0.893939 
    0.994429     0.897727 
    0.995357     0.890152 
    0.997214     0.901515 
    0.995357     0.886364 
    0.997214     0.878788 
    0.995357     0.867424 
    0.997214     0.897727 
    0.997214     0.878788 
    0.996286     0.897727 
    0.997214     0.893939 
    0.999071     0.893939 
    0.999071     0.901515 
    0.997214     0.878788 
    0.996286        0.875 
    0.995357     0.886364 
    0.999071     0.905303 
    0.994429     0.905303 
    0.997214     0.886364 
    0.996286     0.878788 
    0.999071     0.905303 
    0.997214     0.890152 
    0.997214     0.893939 
    0.997214     0.886364 
    0.996286     0.893939 
    0.998143     0.890152 
    0.999071     0.901515 
    0.997214     0.878788 
    0.997214     0.909091 
    0.996286     0.886364 
    0.996286     0.905303 
    0.999071     0.897727 
    0.997214     0.893939 
    0.997214     0.901515 
    0.995357     0.897727 
    0.996286     0.890152 
    0.998143     0.893939 
    0.995357     0.886364 
    0.996286     0.893939 
    0.998143     0.890152 
    0.998143     0.893939 
    0.996286     0.893939 
    0.996286     0.886364 
    0.999071     0.886364 
    0.997214     0.901515 
    0.998143     0.905303 
    0.997214     0.905303 
    0.996286     0.901515 
    0.995357     0.909091 
    0.998143     0.893939 
    0.997214     0.893939 
    0.996286     0.871212 
    0.999071     0.890152 
    0.996286     0.890152 
           1     0.897727 
    0.992572     0.909091 
    0.999071     0.890152 
    0.991643     0.905303 
    0.997214     0.897727 
    0.999071     0.890152 
    0.996286     0.893939 
    0.998143     0.893939 
    0.997214     0.886364 
    0.997214     0.897727 
    0.996286     0.897727 
    0.996286     0.890152 
           1     0.897727 
    0.999071     0.897727 
    0.997214     0.893939 
    0.995357     0.912879 
    0.998143     0.909091 
    0.998143     0.893939 
    0.996286     0.886364 
    0.997214     0.901515 
    0.996286     0.863636 
    0.997214        0.875 
    0.997214     0.886364 
    0.997214     0.878788 
    0.997214     0.878788 
    0.998143     0.890152 
    0.996286     0.893939 
    0.995357     0.897727 
    0.997214        0.875 
    0.992572     0.897727 
    0.998143     0.878788 
    0.997214        0.875 
    0.996286     0.890152 
    0.996286     0.890152 
           1     0.886364 
    0.994429     0.912879 
    0.997214     0.871212 
      0.9935     0.893939 
    0.997214     0.901515 
    0.999071     0.886364 
    0.997214     0.878788 
    0.996286     0.893939 
    0.998143     0.886364 
    0.998143     0.882576 
    0.999071     0.886364 
    0.997214     0.897727 
    0.996286     0.909091 
    0.995357     0.920455 
    0.997214     0.886364 
    0.996286     0.901515 
    0.999071     0.871212 
    0.998143     0.905303 
    0.997214     0.886364 
    0.994429     0.867424 
    0.997214     0.890152 
    0.999071     0.882576 
    0.997214     0.886364 
    0.999071     0.890152 
           1     0.897727 
    0.997214     0.886364 
    0.994429     0.886364 
    0.997214     0.882576 
    0.998143     0.901515 
    0.997214     0.901515 
    0.992572     0.897727 
    0.998143     0.897727 
    0.999071     0.897727 
    0.998143     0.882576 
    0.996286     0.905303 
           1     0.890152 
    0.998143     0.863636 
    0.999071     0.882576 
    0.997214     0.859848 
    0.998143     0.882576 
    0.998143     0.882576 
    0.998143     0.909091 
    0.998143        0.875 
    0.996286     0.890152 
    0.994429     0.893939 
    0.995357     0.886364 
    0.996286     0.905303 
    0.997214     0.871212 
    0.996286     0.886364 
    0.996286     0.882576 
    0.997214     0.901515 
    0.997214     0.893939 
    0.999071     0.901515 
    0.999071     0.909091 
    0.998143     0.897727 
    0.997214     0.901515 
    0.996286     0.897727 
    0.994429     0.886364 
    0.997214     0.893939 
    0.998143     0.886364 
    0.997214     0.886364 
    0.997214     0.890152 
    0.999071     0.893939 
    0.997214     0.890152 
    0.999071     0.890152 
    0.999071     0.890152 
    0.994429     0.890152 
    0.997214     0.897727 
    0.997214     0.897727 
    0.998143     0.890152 
    0.999071     0.901515 
    0.999071     0.863636 
    0.999071     0.901515 
    0.997214     0.912879 
    0.998143     0.890152 
    0.999071     0.882576 
           1     0.897727 
    0.998143     0.882576 
    0.999071     0.890152 
    0.996286     0.905303 
    0.994429     0.909091 
    0.997214     0.909091 
    0.999071     0.912879 
    0.998143     0.897727 
    0.997214     0.901515 
    0.999071     0.920455 
    0.999071     0.886364 
    0.998143     0.901515 
    0.995357     0.893939 
    0.997214     0.886364 
    0.997214     0.909091 
    0.998143     0.882576 
    0.998143     0.878788 
    0.998143     0.893939 
    0.999071     0.886364 
    0.995357     0.882576 
           1     0.886364 
    0.999071     0.893939 
           1     0.882576 
    0.996286     0.890152 
    0.998143     0.890152 
    0.995357     0.890152 
    0.997214     0.878788 
    0.995357     0.882576 
    0.999071     0.901515 
    0.998143     0.909091 
    0.997214     0.878788 
    0.998143     0.897727 
    0.998143     0.890152 
    0.998143     0.890152 
    0.997214     0.893939 
    0.998143     0.897727 
    0.997214        0.875 
           1     0.905303 
    0.997214     0.886364 
    0.999071     0.886364 
