#      Train        Test
     1.23707      3.00484 
     1.15319        2.849 
     1.17629      2.99315 
     1.17148      3.01895 
     1.13987      2.95975 
     1.19041      2.92952 
     1.16867      2.85596 
      1.1551      2.94524 
     1.13635      3.12881 
     1.12638      3.00807 
     1.13126       2.8949 
     1.17424      2.93942 
     1.15466      2.85057 
     1.15374      2.93012 
     1.12527      2.96317 
     1.18058      3.09793 
     1.16964      2.53972 
     1.12981      2.83762 
     1.13841       3.0007 
     1.14397      3.18283 
      1.1492      2.99382 
     1.14143      2.78701 
     1.13507      2.90409 
     1.11482      2.83247 
     1.11999      2.78523 
     1.17754      2.75506 
     1.16443      2.83697 
     1.18008      2.79892 
     1.12696      2.82023 
     1.12991      2.77576 
     1.14855      2.90057 
     1.11081      2.85078 
     1.15212      2.98855 
      1.1014      2.82866 
     1.13718      2.80645 
     1.11036      3.03557 
      1.1408      3.20219 
     1.10998      2.75836 
     1.13228      2.80922 
     1.11387      2.93064 
     1.13234      2.80364 
     1.14075      2.83043 
     1.11349      3.14378 
     1.07703      2.92206 
     1.08615      3.15954 
     1.11503      2.91005 
     1.09856      2.96222 
     1.08756       3.0216 
     1.12106       2.8953 
     1.11083      3.02031 
     1.12644      2.77894 
     1.10653      3.13181 
     1.08763      2.83646 
     1.09885      2.97347 
     1.14271      2.89358 
     1.12433      2.92476 
     1.09601      2.86561 
     1.11891      2.84057 
     1.07258      2.81374 
     1.11205      2.75411 
     1.09929      2.68629 
     1.08819      2.79786 
     1.06048      2.69128 
     1.08825      2.70741 
     1.10231      3.12095 
     1.07932      2.90175 
     1.09031      2.75896 
     1.11025      2.77316 
     1.12268      2.88695 
     1.06529      2.76491 
     1.06177      2.79569 
     1.11113      2.88002 
     1.10799      2.72296 
     1.05724      3.08271 
     1.12592      2.63037 
     1.08319      2.85219 
     1.06019      2.89187 
     1.06067      2.81742 
     1.04734       2.6254 
     1.06085      2.73318 
     1.05293      2.85739 
     1.06097      2.70681 
     1.04559      2.75843 
     1.07916      2.92216 
     1.04669      2.72779 
     1.08339      2.61755 
     1.08134       2.7108 
      1.0998        2.426 
     1.12008      2.84725 
     1.11455      2.77608 
     1.12278      2.86889 
     1.07109      2.86172 
     1.04589       2.9264 
     1.05297      3.18171 
     1.07031      2.86406 
     1.06877      2.65573 
     1.04348      2.76573 
     1.11633      2.82914 
     1.09155      2.83551 
     1.09825      2.70797 
     1.04025      2.42447 
     1.08222      2.76324 
     1.04696      2.67656 
     1.00393      2.60817 
     1.10266      2.93428 
     1.08489        3.086 
     1.04756      2.59106 
     1.00899      2.74899 
     1.06696      3.19551 
     1.03555      2.85934 
     1.08989      2.89303 
      1.0755      2.80007 
     1.04102      2.96267 
     1.06886       2.8378 
     1.06656      2.81619 
     1.06393      2.94048 
     1.01887      2.56663 
      1.0834      2.77786 
     1.07593      2.63624 
     1.02056      2.70849 
      1.0389      2.97101 
     1.08607      2.62046 
     1.10099      2.69154 
     1.04871      2.68739 
     1.11041      2.93102 
    0.978022      2.77415 
     1.04562      2.94416 
     1.01784      2.71828 
      1.0682      2.85355 
     1.03454      2.73559 
     1.06635      2.55877 
     1.06523      2.46242 
     1.09535      2.81457 
     1.07964      2.55054 
     1.06258      2.93328 
     1.00555      3.04182 
     1.12565      3.10405 
     1.08819      2.78425 
     1.06539      2.78511 
     1.11405      2.85397 
    0.980181      2.95131 
     1.00083      2.80522 
     1.01214      2.56072 
      1.0285      2.71644 
     1.02765       2.8157 
     1.04189      2.88038 
     1.02931      2.71616 
     1.04603        2.682 
     1.06656      2.92036 
     1.07828      3.18137 
     1.07736      2.87412 
     1.04336      3.08913 
     1.02576      2.80958 
     1.02427      2.84423 
     1.04102      2.90326 
     1.00599      2.62464 
     1.02692      2.89016 
    0.999129      2.90067 
     1.06483      2.98545 
     1.06291      2.71587 
     1.01159      2.85924 
     1.07942      2.99242 
     1.03231      2.69295 
     1.03317       2.9173 
     1.00748       2.5674 
     1.04891      2.86277 
      1.0309      2.82632 
     1.00148      2.90412 
     1.03931      2.65176 
     1.04142      2.65546 
    0.999039      2.63786 
     1.00145      2.72693 
    0.971406      2.62903 
     1.01399      2.70871 
     1.00068      2.78831 
     1.03908      2.65201 
     1.01671      2.62803 
    0.962089      2.73028 
     1.00181       2.6827 
    0.986959      2.73705 
    0.967242      2.81807 
     1.05683      2.79355 
    0.985008      2.86631 
     1.01845      3.03594 
     0.99363      2.77387 
     1.00547      2.98567 
    0.978112      2.86653 
    0.965407      2.53293 
     1.01951      2.89826 
    0.996084       2.8299 
    0.986187      2.95538 
    0.959688      2.83019 
     1.02761      2.64066 
      0.9804      2.65483 
    0.978164      2.68055 
    0.976513      2.76956 
     1.00541      2.70726 
    0.951545      2.72428 
     1.04305       2.6476 
     1.02399      2.59343 
     1.00604      2.65296 
     1.00532       2.7396 
    0.992404      2.55585 
    0.994519      2.54311 
    0.972122      2.49897 
    0.971374       2.9655 
     1.00207      2.67446 
    0.926394      2.65919 
     1.10478      2.73493 
     1.00909      2.61575 
     1.06263      2.91619 
     1.00822      2.60125 
    0.958132       2.6885 
    0.995588      2.70876 
    0.982163      2.73799 
     1.00909      2.80435 
    0.996593      2.92822 
    0.986488       2.9258 
    0.993147      2.55815 
    0.961295      2.85502 
     1.02499      2.99585 
     1.03616      2.80933 
    0.977041      2.66052 
      1.0104      2.79306 
    0.971488      2.70974 
    0.977816      2.85831 
     1.03529      2.95313 
    0.939945      2.62866 
     1.02739      2.69768 
    0.978017      2.83477 
    0.931864      2.91055 
    0.945337      2.83223 
    0.967643      2.88867 
     0.99384      2.70057 
